"EntityNumber","TypeOfAddress","CountryNL","CountryFR","Zipcode","MunicipalityNL","MunicipalityFR","StreetNL","StreetFR","HouseNumber","Box","ExtraAddressInfo","DateStrikingOff"
"0421.459.555","REGO",,,"1050","Elsene","Ixelles","Boondaalse Steenweg","Chaussée de Boondael","207","","",
"0689.781.747","REGO",,,"7110","La Louvière","La Louvière","Rue Camille Devos(H-A)","Rue Camille Devos(H-A)","30","","",
"0721.976.641","REGO",,,"1348","Ottignies-Louvain-la-Neuve","Ottignies-Louvain-la-Neuve","Courbevoie","Courbevoie","13","","",
"0739.694.779","REGO",,,"1495","Villers-la-Ville","Villers-la-Ville","Drève du Tumulus","Drève du Tumulus","23","","",
"0752.704.756","REGO",,,"2530","Boechout","Boechout","Vosstraat","Vosstraat","7","","",
"0794.588.267","REGO",,,"3020","Herent","Herent","Mechelsesteenweg","Mechelsesteenweg","662","","",
"0870.761.773","REGO",,,"1410","Waterloo","Waterloo","Allée des Artistes","Allée des Artistes","4","1","",
"1000.591.919","REGO",,,"1348","Ottignies-Louvain-la-Neuve","Ottignies-Louvain-la-Neuve","Traverse d'Esope","Traverse d'Esope","6","","",
"1040.646.682","REGO",,,"8940","Wervik","Wervik","Kruisekestraat","Kruisekestraat","144","","",
"1040.646.781","REGO",,,"1310","La Hulpe","La Hulpe","Avenue de la Reine","Avenue de la Reine","35","","",
"1040.647.078","REGO",,,"2940","Stabroek","Stabroek","Parijse Weg","Parijse Weg","1","","",
"1040.647.276","REGO",,,"2340","Beerse","Beerse","den Abt","den Abt","140","","",
"1040.648.167","REGO",,,"3590","Diepenbeek","Diepenbeek","François Schoofsstraat","François Schoofsstraat","8","","",
"1040.648.365","REGO",,,"1030","Schaarbeek","Schaerbeek","Emile Zolalaan","Avenue Emile Zola","74","","",
"1040.649.256","REGO",,,"2170","Antwerpen","Antwerpen","Oudebareellei","Oudebareellei","45","","",
"2.067.399.701","BAET",,,"9830","Sint-Martens-Latem","Sint-Martens-Latem","Kortrijksesteenweg","Kortrijksesteenweg","157","","",
"2.093.470.826","BAET",,,"1420","Braine-l'Alleud","Braine-l'Alleud","Avenue de Finlande","Avenue de Finlande","8","","",
"2.149.665.203","BAET",,,"8380","Brugge","Brugge","Jozef Verschaveweg","Jozef Verschaveweg","106","","",
"2.170.373.119","BAET",,,"3950","Bocholt","Bocholt","Dorperheideweg","Dorperheideweg","46","","",
"2.180.020.164","BAET",,,"8380","Brugge","Brugge","Jozef Verschaveweg","Jozef Verschaveweg","106","","",
"2.225.600.068","BAET",,,"3128","Tremelo","Tremelo","Reyersstraat","Reyersstraat","2","A","",
"2.240.812.638","BAET",,,"4121","Neupré","Neupré","Rue Rimière(N)","Rue Rimière(N)","22","","",
"2.255.036.105","BAET",,,"8400","Oostende","Oostende","Zandvoordedorpstraat","Zandvoordedorpstraat","11","","",
"2.255.413.415","BAET",,,"3090","Overijse","Overijse","Zwanenlaan","Zwanenlaan","31","","",
"2.277.548.617","BAET",,,"2170","Antwerpen","Antwerpen","Bredabaan","Bredabaan","433","","",
"2.286.247.141","BAET",,,"1000","Brussel","Bruxelles","Kantersteen","Cantersteen","47","","",
"2.293.254.501","BAET",,,"8380","Brugge","Brugge","Jozef Verschaveweg","Jozef Verschaveweg","106","","",
"2.294.288.738","BAET",,,"3800","Sint-Truiden","Sint-Truiden","Kazernestraat","Kazernestraat","1A","201","",
"2.300.201.184","BAET",,,"2070","Beveren-Kruibeke-Zwijndrecht","Beveren-Kruibeke-Zwijndrecht","Smoutpot","Smoutpot","23","","",
"2.305.925.174","BAET",,,"2530","Boechout","Boechout","Vosstraat","Vosstraat","7","","",
"2.318.869.726","BAET",,,"4020","Liège","Liège","Rue Denis-Sotiau","Rue Denis-Sotiau","30","","",
"2.330.430.839","BAET",,,"8850","Ardooie","Ardooie","Roeselaarsestraat","Roeselaarsestraat","72B","","",
"2.333.206.227","BAET",,,"9140","Temse","Temse","Kasteelstraat","Kasteelstraat","68","","",
"2.339.564.279","BAET",,,"8460","Oudenburg","Oudenburg","Vervlotenweg","Vervlotenweg","66","","",
"2.344.115.163","BAET",,,"6060","Charleroi","Charleroi","Route de la Basse Sambre","Route de la Basse Sambre","125","","",
"2.344.478.617","BAET",,,"9220","Hamme (Vl.)","Hamme (Vl.)","Jules De Brouwerpark","Jules De Brouwerpark","27","","",
"2.346.467.414","BAET",,,"9308","Aalst","Aalst","Koningshofbaan","Koningshofbaan","26","","",
"2.347.915.781","BAET",,,"8920","Langemark-Poelkapelle","Langemark-Poelkapelle","Klerkenstraat","Klerkenstraat","223","","",
"2.350.249.226","BAET",,,"2610","Antwerpen","Antwerpen","Pottershofstraat","Pottershofstraat","9","201","",
"2.352.486.659","BAET",,,"8860","Lendelede","Lendelede","Kortrijksestraat","Kortrijksestraat","70","","",
"2.354.743.888","BAET",,,"1130","Brussel","Bruxelles","Servandonistraat","Rue Servandoni","ZN","","",
"2.360.658.019","BAET",,,"9308","Aalst","Aalst","Koningshofbaan","Koningshofbaan","26","","",
"2.360.672.469","BAET",,,"8790","Waregem","Waregem","Stormestraat","Stormestraat","75","41","",
"2.360.983.364","BAET",,,"2980","Zoersel","Zoersel","Spechtendreef","Spechtendreef","2","","",
"2.363.185.561","BAET",,,"9950","Lievegem","Lievegem","Patronagiestraat","Patronagiestraat","49","","",
"2.365.111.210","BAET",,,"3200","Aarschot","Aarschot","Langdorpsesteenweg","Langdorpsesteenweg","51","","",
"2.368.298.253","BAET",,,"9406","Ninove","Ninove","Ziekhuizenstraat","Ziekhuizenstraat","7","","Jade Buckhurst",
"2.377.164.449","BAET",,,"8670","Koksijde","Koksijde","Heiststraat(Kok)","Heiststraat(Kok)","12","301","",
"2.377.538.294","BAET",,,"8790","Waregem","Waregem","Pand","Pand","263","10","",
"2.377.790.890","BAET",,,"2990","Wuustwezel","Wuustwezel","Ambachtstraat","Ambachtstraat","7","","",
"2.379.231.638","BAET",,,"1200","Sint-Lambrechts-Woluwe","Woluwe-Saint-Lambert","Sint-Lambertusstraat","Rue Saint-Lambert","200","113-280","",
"2.381.480.058","BAET",,,"6030","Charleroi","Charleroi","Rue des Lilas","Rue des Lilas","4","","",
"2.381.514.801","BAET",,,"4020","Liège","Liège","Rue de Fléron","Rue de Fléron","26","A011","",
"2.384.356.208","BAET",,,"6730","Tintigny","Tintigny","Rue du Gros-Cron,Lahage","Rue du Gros-Cron,Lahage","113","","",
"2.385.689.759","BAET",,,"2260","Westerlo","Westerlo","Aspergevelden","Aspergevelden","25","","",
"2.387.865.232","BAET",,,"8850","Ardooie","Ardooie","Brugsebaan","Brugsebaan","14","","",
"2.389.483.053","BAET",,,"8930","Menen","Menen","Neerweg","Neerweg","2","","",
"2.389.674.083","BAET",,,"8400","Oostende","Oostende","Haringstraat","Haringstraat","145","","",
"2.390.602.018","BAET",,,"1080","Sint-Jans-Molenbeek","Molenbeek-Saint-Jean","Edmond Machtenslaan","Boulevard Edmond Machtens","61","3","",
"2.390.901.530","BAET",,,"7160","Chapelle-lez-Herlaimont","Chapelle-lez-Herlaimont","Boulevard Dubois Duvivier","Boulevard Dubois Duvivier","11","","",
"2.390.902.817","BAET",,,"4557","Tinlot","Tinlot","Rue du Village","Rue du Village","12","","",
"2.390.927.660","BAET",,,"8970","Poperinge","Poperinge","Sint-Andrieshof","Sint-Andrieshof","37","","",
"2.391.009.022","BAET",,,"9400","Ninove","Ninove","Kaardeloodstraat","Kaardeloodstraat","17","","",
"2.391.032.182","BAET",,,"7050","Jurbise","Jurbise","Rue des Juifs(H)","Rue des Juifs(H)","62","","",
"2.391.060.985","BAET",,,"7604","Péruwelz","Péruwelz","Rue du Gros Tilleul(BRA)","Rue du Gros Tilleul(BRA)","1F","","",
"2.391.179.167","BAET",,,"4900","Spa","Spa","Balmoral","Balmoral","33","","",
"2.391.180.850","BAET",,,"7110","La Louvière","La Louvière","Pavé du Roeulx(S-B)","Pavé du Roeulx(S-B)","73","","",
"2.391.213.019","BAET",,,"7040","Quévy","Quévy","Rue de Frameries(QLP)","Rue de Frameries(QLP)","31","","",
"2.391.314.175","BAET",,,"2221","Heist-op-den-Berg","Heist-op-den-Berg","Dorpsstraat","Dorpsstraat","83","","",
"2.391.324.964","BAET",,,"1081","Koekelberg","Koekelberg","Félix Vande Sandesquare","Square Félix Vande Sande","14","","",
"2.391.354.955","BAET",,,"2580","Putte","Putte","Venstraat","Venstraat","36","","",
"2.391.451.262","BAET",,,"5574","Beauraing","Beauraing","rue de Snaye,Pd","rue de Snaye,Pd","6","A","",
"2.391.465.615","BAET",,,"2930","Brasschaat","Brasschaat","Charlottalei","Charlottalei","19","","",
"2.391.537.473","BAET",,,"6640","Vaux-sur-Sûre","Vaux-sur-Sûre","Assenois","Assenois","17","D000","",
"2.391.541.730","BAET",,,"1000","Brussel","Bruxelles","Blekerijstraat","Rue de la Blanchisserie","23-29","","",
"2.391.550.242","BAET",,,"1040","Etterbeek","Etterbeek","Sint-Pieterssteenweg","Chaussée Saint-Pierre","350","","",
"2.391.558.853","BAET",,,"5030","Gembloux","Gembloux","Rue du Bois","Rue du Bois","22","","",
"2.391.564.692","BAET",,,"2390","Malle","Malle","Salphensebaan","Salphensebaan","21","","",
"2.391.587.458","BAET",,,"2800","Mechelen","Mechelen","Battelsesteenweg","Battelsesteenweg","306","","",
"2.391.595.772","BAET",,,"7100","La Louvière","La Louvière","Rue du Moulin(L.L)","Rue du Moulin(L.L)","93","","",
"2.391.598.445","BAET",,,"2820","Bonheiden","Bonheiden","Boeimeerstraat","Boeimeerstraat","2","","",
"2.391.600.920","BAET",,,"6852","Paliseul","Paliseul","Avenue de France, Maissin","Avenue de France, Maissin","3","A","",
