"EntityNumber","ActivityGroup","NaceVersion","NaceCode","Classification"
"0400.296.531","001","2025","13100","MAIN"
"0400.296.531","001","2025","46412","SECO"
"0400.296.531","001","2003","51410","SECO"
"0400.296.531","001","2003","17110","MAIN"
"0400.296.531","001","2008","46412","SECO"
"0400.296.531","001","2008","13100","MAIN"
"0418.856.292","001","2025","46216","MAIN"
"0418.856.292","001","2003","51210","MAIN"
"0418.856.292","001","2008","46216","MAIN"
"0420.767.687","006","2025","46450","MAIN"
"0420.767.687","001","2025","46499","MAIN"
"0420.767.687","001","2025","46450","SECO"
"0420.767.687","001","2003","51450","SECO"
"0420.767.687","001","2003","51478","MAIN"
"0420.767.687","001","2008","46499","MAIN"
"0420.767.687","001","2008","46450","SECO"
"0421.960.292","001","2025","43350","SECO"
"0421.960.292","001","2025","64210","SECO"
"0421.960.292","001","2025","43333","SECO"
"0421.960.292","001","2025","43342","SECO"
"0421.960.292","001","2025","43341","MAIN"
"0421.960.292","001","2025","68121","SECO"
"0421.960.292","001","2025","68110","SECO"
"0421.960.292","001","2008","68100","SECO"
"0421.960.292","001","2008","41101","SECO"
"0421.960.292","001","2008","43390","SECO"
"0421.960.292","001","2008","64200","SECO"
"0421.960.292","001","2008","43333","SECO"
"0421.960.292","001","2008","43341","MAIN"
"0421.960.292","001","2008","43342","SECO"
"0424.223.263","001","2025","70200","MAIN"
"0424.223.263","001","2008","70220","MAIN"
"0424.463.486","006","2025","68110","MAIN"
"0424.463.486","001","2025","64210","SECO"
"0424.463.486","001","2025","68203","SECO"
"0424.463.486","001","2025","82990","MAIN"
"0424.463.486","001","2025","70100","SECO"
"0424.463.486","001","2025","68110","SECO"
"0424.463.486","001","2008","82990","MAIN"
"0424.463.486","001","2008","68203","SECO"
"0424.463.486","001","2008","70100","SECO"
"0424.463.486","001","2008","64200","SECO"
"0424.463.486","001","2008","68100","SECO"
"0427.357.749","001","2025","96210","MAIN"
"0427.357.749","001","2003","93021","MAIN"
"0427.357.749","001","2008","96021","MAIN"
"0429.015.855","001","2025","69201","MAIN"
"0429.015.855","001","2003","74121","MAIN"
"0429.015.855","001","2008","69202","MAIN"
"0432.680.673","001","2025","71121","MAIN"
