run_id,ts_utc,job,month,parallelism,duration_s,rows_in,rows_out,title
monument_20260727093410_Sagrada_Família,2026-07-27T09:34:10Z,monument,2026-06,2,14,1,1,Sagrada_Família
top100_20260727093529,2026-07-27T09:35:29Z,top100,2026-06,2,15,100,100,
monument_20260727093546_Tour_Eiffel,2026-07-27T09:35:46Z,monument,2026-06,2,14,1,1,Tour_Eiffel
monument_20260727093604_Sagrada_Família,2026-07-27T09:36:04Z,monument,2026-06,2,14,1,1,Sagrada_Família
top100_20260727103749,2026-07-27T10:37:49Z,top100,2026-06,2,199,100,100,
top100_20260727104045,2026-07-27T10:40:45Z,top100,2026-06,2,310,100,100,
top100_20260727105807,2026-07-27T10:58:07Z,top100,2026-06,2,142,100,100,
top100_20260727120728,2026-07-27T12:07:28Z,top100,2026-06,2,4065,100,100,
top100_20260727122755,2026-07-27T12:27:55Z,top100,2026-06,2,124,100,100,
