"EnterpriseNumber"
"0507.955.247"
"0509.909.796"
"0545.769.609"
"0554.656.292"
"0557.978.345"
"0558.994.568"
"0567.569.863"
"0593.402.151"
"0599.911.940"
"0603.602.591"
"0603.895.274"
"0618.920.871"
"0624.858.657"
"0625.975.741"
"0630.350.144"
"0632.732.186"
"0636.776.492"
"0640.322.833"
"0647.740.561"
"0655.893.907"
"0656.305.067"
"0658.895.462"
"0661.212.277"
"0662.270.072"
"0663.881.163"
"0674.169.596"
"0674.670.731"
"0676.206.596"
"0678.646.147"
"0680.496.669"
"0689.194.403"
"0693.595.629"
"0698.285.776"
"0699.906.765"
"0707.776.534"
"0714.430.041"
"0718.512.454"
"0719.180.665"
"0723.093.824"
"0726.142.196"
"0729.556.202"
"0730.919.150"
"0736.786.066"
"0737.535.342"
"0741.833.630"
"0743.128.282"
"0746.323.938"
"0748.326.393"
"0749.554.434"
"0749.616.295"
"0752.292.705"
"0754.043.455"
"0757.521.302"
"0758.450.918"
"0758.868.216"
"0762.434.945"
"0763.828.181"
"0764.515.002"
"0767.239.118"
"0771.190.085"
"0773.076.043"
"0773.931.029"
"0776.763.033"
"0776.797.180"
"0777.010.976"
"0778.912.770"
"0781.706.865"
"0786.061.274"
"0787.413.039"
"0788.184.485"
"0789.224.167"
"0790.278.794"
"0790.831.201"
"0791.251.368"
"0801.514.265"
"0801.908.007"
"0805.812.949"
"0806.371.490"
"0808.685.832"
"0819.584.573"
"0825.583.925"
"0833.013.036"
"0833.336.896"
"0839.002.488"
"0847.641.923"
"0853.405.010"
"0855.844.955"
"0857.632.824"
"0862.577.547"
"0872.202.620"
"0880.736.640"
"0884.906.056"
"0897.610.482"
"1001.480.656"
"1002.484.706"
"1002.637.728"
"1005.332.249"
"1006.771.215"
"1006.836.244"
"1007.829.307"
"1007.976.686"
"1009.244.616"
"1011.989.815"
"1013.236.759"
"1013.687.513"
"1014.743.823"
"1015.220.509"
"1015.934.943"
"1021.350.216"
"1021.976.855"
"1022.348.623"
"1022.374.753"
"1022.688.420"
"1023.103.144"
"1024.265.164"
"1025.009.490"
"1026.260.493"
"1026.431.036"
"1026.680.563"
"1027.453.197"
"1027.464.778"
"1028.625.810"
"1029.196.427"
"1029.713.495"
"1030.204.831"
"1030.236.901"
"1030.587.881"
"1031.310.433"
"1032.276.968"
"1032.277.562"
"1032.315.372"
"1033.388.411"
"1033.675.154"
"1033.792.544"
"1034.531.823"
"1037.499.330"
"1038.256.425"
"1038.290.572"
"1039.604.824"
