"EntityNumber","ActivityGroup","NaceVersion","NaceCode","Classification"
"0748.820.402","001","2025","81300","SECO"
"0748.820.402","001","2025","71113","SECO"
"0748.820.402","001","2025","56111","MAIN"
"0757.735.492","001","2025","49330","SECO"
"0757.735.492","001","2025","52210","MAIN"
"0785.725.635","006","2025","41001","MAIN"
"0785.725.635","001","2025","43120","SECO"
"0785.725.635","001","2025","43341","SECO"
"0785.725.635","001","2025","43230","SECO"
"0785.725.635","001","2025","43410","SECO"
"0785.725.635","001","2025","43331","SECO"
"0785.725.635","001","2025","43110","SECO"
"0785.725.635","001","2025","43421","SECO"
"0785.725.635","001","2025","68110","SECO"
"0785.725.635","001","2025","41001","MAIN"
"0785.725.635","001","2008","43910","SECO"
"0785.725.635","001","2008","43341","SECO"
"0785.725.635","001","2008","43991","SECO"
"0785.725.635","001","2008","43110","SECO"
"0785.725.635","001","2008","41201","MAIN"
"0785.725.635","001","2008","43291","SECO"
"0785.725.635","001","2008","43331","SECO"
"0785.725.635","001","2008","43120","SECO"
"0785.725.635","001","2008","68100","SECO"
"0849.708.023","001","2025","66210","SECO"
"0849.708.023","001","2025","90111","SECO"
"0849.708.023","001","2025","90120","SECO"
"0849.708.023","001","2025","74999","SECO"
"0849.708.023","001","2025","96992","SECO"
"0849.708.023","001","2025","70200","SECO"
"0849.708.023","001","2025","71111","MAIN"
"1000.934.783","001","2025","68321","SECO"
"1000.934.783","001","2025","68322","MAIN"
"1000.934.783","001","2008","68312","MAIN"
"1039.047.370","001","2025","59201","SECO"
"1039.047.370","001","2025","90202","MAIN"
"1039.047.370","001","2025","90391","SECO"
"1039.047.370","001","2025","47716","SECO"
"1039.047.370","001","2025","47715","SECO"
"1039.047.370","001","2025","85520","SECO"
"1039.777.246","001","2025","69101","MAIN"
"1040.138.225","001","2025","95311","MAIN"
"2.341.717.580","003","2008","4519301","MAIN"
"2.341.717.580","003","2008","3312001","MAIN"
"2.341.717.580","003","2008","3312002","MAIN"
"2.341.717.580","003","2008","2562001","MAIN"
"2.341.717.580","003","2008","3312011","MAIN"
"2.341.717.580","003","2008","7739901","MAIN"
"2.341.717.580","003","2025","2553011","MAIN"
"2.341.717.580","003","2025","4781201","MAIN"
"2.341.717.580","003","2025","3312002","MAIN"
"2.341.717.580","003","2025","7739901","MAIN"
"2.341.717.580","003","2025","3312003","MAIN"
"2.341.717.580","003","2025","3312001","MAIN"
"2.347.453.250","003","2008","01490","MAIN"
"2.347.453.250","003","2008","96093","MAIN"
"2.347.453.250","003","2008","47762","MAIN"
"2.347.453.250","003","2025","01480","MAIN"
"2.347.453.250","003","2025","47762","MAIN"
"2.347.453.250","003","2025","96993","MAIN"
"2.352.587.025","003","2008","62020","MAIN"
"2.352.587.025","003","2008","62010","MAIN"
"2.352.587.025","003","2008","62030","MAIN"
"2.352.587.025","003","2025","43213","MAIN"
"2.352.587.025","003","2025","43214","SECO"
"2.352.587.025","003","2025","77330","SECO"
"2.352.587.025","003","2025","7733001","SECO"
"2.352.587.025","003","2025","4100301","SECO"
"2.352.587.025","003","2025","7311001","SECO"
"2.352.587.025","003","2025","7733002","SECO"
"2.352.587.025","003","2025","33140","MAIN"
"2.352.587.025","003","2025","58290","SECO"
"2.352.587.025","003","2025","63910","SECO"
"2.352.587.025","003","2025","4100103","SECO"
"2.352.587.025","003","2025","47400","SECO"
"2.352.587.025","003","2025","43341","SECO"
"2.352.587.025","003","2025","43910","SECO"
"2.352.587.025","003","2025","7311005","SECO"
"2.352.587.025","003","2025","43990","SECO"
"2.352.587.025","003","2025","43110","SECO"
"2.352.587.025","003","2025","73300","SECO"
"2.352.587.025","003","2025","70200","SECO"
"2.352.587.025","003","2025","4333301","SECO"
"2.352.587.025","003","2025","43211","MAIN"
"2.352.587.025","003","2025","63100","SECO"
"2.352.587.025","003","2025","4100106","SECO"
"2.352.587.025","003","2025","62200","MAIN"
"2.352.587.025","003","2025","62100","MAIN"
"2.352.587.025","003","2025","43212","SECO"
"2.352.587.025","003","2025","4100105","SECO"
"2.352.587.025","003","2025","7311003","SECO"
"2.352.587.025","003","2025","62900","SECO"
"2.379.231.638","003","2025","4755902","SECO"
"2.379.231.638","003","2025","46491","MAIN"
"2.379.231.638","003","2025","47640","MAIN"
"2.379.231.638","003","2025","46480","MAIN"
"2.379.231.638","003","2025","4762101","SECO"
"2.379.231.638","003","2025","1628108","SECO"
"2.390.906.379","003","2025","82990","MAIN"
"2.390.906.379","003","2025","43990","MAIN"
"2.390.906.379","003","2025","43350","MAIN"
"2.390.906.379","003","2025","96999","MAIN"
"2.391.279.236","003","2025","69101","MAIN"
"2.391.285.174","003","2025","47811","MAIN"
"2.391.285.174","003","2025","95311","MAIN"
"2.391.493.725","003","2025","81300","MAIN"
"2.391.583.302","003","2025","49330","MAIN"
"2.391.673.273","003","2025","70200","MAIN"
"2.391.673.273","003","2025","82300","MAIN"
"2.391.673.273","003","2025","85592","MAIN"
"2.391.673.273","003","2025","82990","MAIN"
"2.391.673.273","003","2025","85599","MAIN"
"2.391.673.273","003","2025","96999","SECO"
"2.391.680.795","003","2025","49410","MAIN"
"2.391.680.795","003","2025","82300","SECO"
"2.391.680.795","003","2025","73110","MAIN"
"2.391.680.795","003","2025","79120","MAIN"
"2.391.680.795","003","2025","73300","MAIN"
"2.391.680.795","003","2025","93199","SECO"
"2.391.680.795","003","2025","82990","MAIN"
"2.391.680.795","003","2025","85531","SECO"
"2.391.703.759","003","2025","4332013","MAIN"
"2.391.703.759","003","2025","4331001","MAIN"
"2.391.703.759","003","2025","43310","MAIN"
"2.391.703.759","003","2025","82990","MAIN"
"2.391.703.759","003","2025","43422","MAIN"
"2.391.709.204","003","2025","32400","MAIN"
"2.391.709.204","003","2025","47784","MAIN"
"2.391.715.637","003","2025","88911","MAIN"
"2.391.715.736","003","2025","93121","MAIN"
"2.391.715.835","003","2025","56112","MAIN"
