"EnterpriseNumber","Status","JuridicalSituation","TypeOfEnterprise","JuridicalForm","JuridicalFormCAC","StartDate"
"0554.656.292","AC","000","1",,,15-07-2020
"0557.978.345","AC","000","2","610",,05-08-2014
"0884.906.056","AC","000","2","610",,10-11-2006
"1039.777.246","AC","000","1",,,26-07-2026
"1040.138.225","AC","000","1",,,26-07-2026
"1040.452.880","AC","000","1",,,26-07-2026
"1040.493.561","AC","000","1",,,26-07-2026
"1040.633.618","AC","000","1",,,26-07-2026
"1040.644.506","AC","000","2","610",,25-07-2026
"1040.644.902","AC","000","2","017",,25-07-2026
"1040.645.001","AC","000","2","612",,25-07-2026
"1040.645.197","AC","000","2","017",,25-07-2026
"1040.645.296","AC","000","2","011",,25-07-2026
"1040.645.494","AC","000","2","017",,25-07-2026
"1040.645.791","AC","000","2","017",,25-07-2026
"1040.646.484","AC","000","2","017",,25-07-2026
