"EstablishmentNumber","StartDate","EnterpriseNumber"
"2.391.279.236",26-07-2026,"1039.777.246"
"2.391.285.174",26-07-2026,"1040.138.225"
"2.391.493.725",26-07-2026,"1040.452.880"
"2.391.583.302",26-07-2026,"1040.493.561"
"2.391.709.204",26-07-2026,"1040.633.618"
"2.391.715.637",23-07-2026,"1040.577.990"
"2.391.715.736",01-07-2026,"0422.688.782"
"2.391.715.835",06-07-2026,"1039.949.965"
