"EntityNumber","TypeOfAddress","CountryNL","CountryFR","Zipcode","MunicipalityNL","MunicipalityFR","StreetNL","StreetFR","HouseNumber","Box","ExtraAddressInfo","DateStrikingOff"
"0212.143.849","REGO",,,"7050","Jurbise","Jurbise","Rue du Moustier(J)","Rue du Moustier(J)","1A","","",
"0407.094.251","REGO",,,"2650","Edegem","Edegem","Mechelsesteenweg","Mechelsesteenweg","144","","",
"0407.627.850","REGO",,,"4460","Grâce-Hollogne","Grâce-Hollogne","Rue de l'Aéropostale","Rue de l'Aéropostale","8","","",
"0415.472.180","REGO",,,"3500","Hasselt","Hasselt","Heksenbergstraat","Heksenbergstraat","Z/N","","",
"0415.512.564","REGO",,,"9200","Dendermonde","Dendermonde","Burgemeester Potiaulaan (STG)","Burgemeester Potiaulaan (STG)","14","2","",
"0416.621.928","REGO",,,"9800","Deinze","Deinze","Lange Akkerstraat","Lange Akkerstraat","16/A","","",
"0420.575.271","REGO",,,"3800","Sint-Truiden","Sint-Truiden","Naamsesteenweg","Naamsesteenweg","55","101","",
"0421.365.426","REGO",,,"8000","Brugge","Brugge","Gotevlietstraat","Gotevlietstraat","34","","",
"0422.500.029","REGO",,,"1000","Brussel","Bruxelles","Handelskaai","Quai du Commerce","48","2","",
"0424.387.272","REGO",,,"3570","Alken","Alken","Reigerlaan","Reigerlaan","3","","",
"0433.978.493","REGO",,,"2580","Putte","Putte","Heiststeenweg","Heiststeenweg","57","","",
"0435.569.788","REGO",,,"1480","Tubize","Tubize","Rue des Ponts","Rue des Ponts","98","B","",
"0438.251.938","REGO",,,"1480","Tubize","Tubize","Rue des Ponts","Rue des Ponts","23","","",
"0439.410.295","REGO",,,"7340","Colfontaine","Colfontaine","Rue du Grand Passage","Rue du Grand Passage","126","","",
"0439.833.038","REGO",,,"1560","Hoeilaart","Hoeilaart","Ildefonse Vandammestraat","Ildefonse Vandammestraat","5-7","D","",
