"EnterpriseNumber"
"0211.284.113"
"0211.290.348"
"0401.144.686"
"0401.633.943"
"0405.404.273"
"0409.119.571"
"0409.768.382"
"0413.106.271"
"0418.435.729"
"0424.058.858"
"0428.198.481"
"0431.894.973"
"0432.887.343"
"0432.977.910"
"0435.569.788"
"0446.861.776"
"0448.948.662"
"0449.341.117"
"0456.549.801"
"0457.191.781"
"0457.330.056"
"0461.352.685"
"0461.460.078"
"0463.102.051"
"0464.310.294"
"0467.688.666"
"0471.781.274"
"0475.475.885"
"0500.820.601"
"0501.783.671"
"0502.816.029"
"0503.916.582"
"0506.884.089"
"0507.509.938"
"0518.897.639"
"0519.961.273"
"0522.928.780"
"0524.904.414"
"0533.899.579"
"0533.911.754"
"0536.212.832"
"0543.690.443"
"0553.660.855"
"0558.078.711"
"0559.105.030"
"0564.921.763"
"0568.993.585"
"0573.104.803"
"0581.465.015"
"0587.792.383"
"0589.994.481"
"0629.798.828"
"0631.949.951"
"0633.649.728"
"0634.734.940"
"0635.718.006"
"0642.807.617"
"0651.504.854"
"0655.368.028"
"0659.475.383"
"0659.820.229"
"0661.650.955"
"0661.850.497"
"0665.202.145"
"0666.482.149"
"0668.761.451"
"0670.651.961"
"0672.003.726"
"0672.935.124"
"0674.778.124"
"0675.773.858"
"0676.265.489"
"0677.329.224"
"0679.373.548"
"0680.444.508"
"0682.570.786"
"0685.978.456"
"0697.879.465"
"0698.798.589"
"0699.496.296"
"0701.820.833"
"0704.639.276"
"0705.998.662"
"0707.993.102"
"0708.741.782"
"0709.950.819"
"0710.914.285"
"0713.051.354"
"0716.515.838"
"0720.487.393"
"0720.921.717"
"0721.588.344"
"0722.679.001"
"0727.311.641"
"0728.068.835"
"0729.578.372"
"0730.898.265"
"0731.743.848"
"0735.677.494"
"0735.965.625"
"0737.367.967"
"0740.250.649"
"0744.713.639"
"0749.144.757"
"0749.467.134"
"0753.773.439"
"0763.351.594"
"0763.517.385"
"0765.094.032"
"0765.593.086"
"0767.655.723"
"0769.710.935"
"0770.595.120"
"0770.868.502"
"0771.880.864"
"0772.522.846"
"0774.833.030"
"0775.393.353"
"0775.502.231"
"0776.755.313"
"0777.676.516"
"0778.984.531"
"0779.498.334"
"0781.034.694"
"0781.770.312"
"0781.872.062"
"0782.107.040"
"0783.873.430"
"0783.891.345"
"0784.570.048"
"0784.793.445"
"0785.640.315"
"0786.657.429"
"0787.610.504"
"0788.462.718"
"0789.403.321"
"0790.177.341"
"0790.841.196"
"0791.847.424"
"0792.904.427"
"0793.341.917"
"0793.959.747"
"0795.718.813"
"0797.113.138"
"0797.389.785"
"0797.591.309"
"0798.392.152"
"0798.580.907"
"0801.441.120"
"0802.290.958"
"0803.847.116"
"0804.207.402"
"0804.901.248"
"0805.518.385"
"0807.618.436"
"0811.757.267"
"0813.726.268"
"0814.009.251"
"0816.214.913"
"0817.990.310"
"0821.829.233"
"0822.219.213"
"0822.404.996"
"0822.813.980"
"0824.986.681"
"0827.714.064"
"0827.999.423"
"0829.262.995"
"0832.104.503"
"0834.683.020"
"0835.635.895"
"0836.937.576"
"0844.742.217"
"0844.912.362"
"0846.328.067"
"0846.904.723"
"0847.586.196"
"0847.912.632"
"0854.906.530"
"0857.168.610"
"0858.249.070"
"0862.246.064"
"0862.904.278"
"0864.162.409"
"0866.399.050"
"0868.279.464"
"0869.351.018"
"0869.931.632"
"0872.940.117"
"0878.418.538"
"0881.607.066"
"0881.688.329"
"0882.983.476"
"0883.481.938"
"0884.137.875"
"0885.681.363"
"0886.504.972"
"0887.239.105"
"0889.887.502"
"0892.067.032"
"0892.964.380"
"0893.129.181"
"0898.352.929"
"0899.535.240"
"0899.991.536"
"1001.129.476"
"1001.631.304"
"1002.237.751"
"1005.241.187"
"1006.559.991"
"1006.781.212"
"1008.024.394"
"1008.295.303"
"1008.387.155"
"1009.860.169"
"1009.939.056"
"1010.556.886"
"1010.902.920"
"1014.053.638"
"1015.798.450"
"1015.835.270"
"1016.677.685"
"1016.805.765"
"1017.503.571"
"1018.468.920"
"1020.295.191"
"1022.245.188"
"1024.147.378"
"1024.533.794"
"1025.076.006"
"1026.331.957"
"1026.466.668"
"1026.480.823"
"1027.842.583"
"1028.237.513"
"1028.655.405"
"1031.158.597"
"1031.991.809"
"1032.764.344"
"1035.331.280"
"1036.454.205"
"1036.527.449"
"1036.891.594"
"1039.141.501"
"1039.701.923"
